@RELATION twitter-adr
@ATTRIBUTE id NUMERIC
@ATTRIBUTE allergic NUMERIC
@ATTRIBUTE am NUMERIC
@ATTRIBUTE appetite NUMERIC
@ATTRIBUTE bad NUMERIC
@ATTRIBUTE bananas NUMERIC
@ATTRIBUTE bed NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE caused NUMERIC
@ATTRIBUTE causing NUMERIC
@ATTRIBUTE chemical NUMERIC
@ATTRIBUTE commercial NUMERIC
@ATTRIBUTE contain NUMERIC
@ATTRIBUTE crippled NUMERIC
@ATTRIBUTE crying NUMERIC
@ATTRIBUTE cymbalta NUMERIC
@ATTRIBUTE definitely NUMERIC
@ATTRIBUTE depression NUMERIC
@ATTRIBUTE diary NUMERIC
@ATTRIBUTE dont NUMERIC
@ATTRIBUTE drowsy NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE effexor NUMERIC
@ATTRIBUTE experiencing NUMERIC
@ATTRIBUTE fda NUMERIC
@ATTRIBUTE feel NUMERIC
@ATTRIBUTE fluid NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE gain NUMERIC
@ATTRIBUTE gained NUMERIC
@ATTRIBUTE glassncision NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE hating NUMERIC
@ATTRIBUTE headaches NUMERIC
@ATTRIBUTE help NUMERIC
@ATTRIBUTE hurts NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE lamotrigine NUMERIC
@ATTRIBUTE lbs NUMERIC
@ATTRIBUTE legs NUMERIC
@ATTRIBUTE lozenge NUMERIC
@ATTRIBUTE made NUMERIC
@ATTRIBUTE makes NUMERIC
@ATTRIBUTE making NUMERIC
@ATTRIBUTE me NUMERIC
@ATTRIBUTE messed NUMERIC
@ATTRIBUTE munchies NUMERIC
@ATTRIBUTE muscle NUMERIC
@ATTRIBUTE my NUMERIC
@ATTRIBUTE natural NUMERIC
@ATTRIBUTE neck NUMERIC
@ATTRIBUTE next NUMERIC
@ATTRIBUTE nicotine NUMERIC
@ATTRIBUTE nightmare NUMERIC
@ATTRIBUTE off NUMERIC
@ATTRIBUTE olanzapine NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE pains NUMERIC
@ATTRIBUTE person NUMERIC
@ATTRIBUTE pic NUMERIC
@ATTRIBUTE prozac NUMERIC
@ATTRIBUTE quetiapine NUMERIC
@ATTRIBUTE restless NUMERIC
@ATTRIBUTE retention NUMERIC
@ATTRIBUTE rivaroxaban NUMERIC
@ATTRIBUTE rt NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE sense NUMERIC
@ATTRIBUTE seroquel NUMERIC
@ATTRIBUTE sick NUMERIC
@ATTRIBUTE since NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE sleep NUMERIC
@ATTRIBUTE stone NUMERIC
@ATTRIBUTE taking NUMERIC
@ATTRIBUTE tendon NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE though NUMERIC
@ATTRIBUTE tired NUMERIC
@ATTRIBUTE uberfacts NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE withdrawal NUMERIC
@ATTRIBUTE withdrawals NUMERIC
@ATTRIBUTE wondering NUMERIC
@ATTRIBUTE zombie NUMERIC
@ATTRIBUTE d2v0 NUMERIC
@ATTRIBUTE d2v1 NUMERIC
@ATTRIBUTE d2v2 NUMERIC
@ATTRIBUTE d2v3 NUMERIC
@ATTRIBUTE d2v4 NUMERIC
@ATTRIBUTE d2v5 NUMERIC
@ATTRIBUTE d2v6 NUMERIC
@ATTRIBUTE d2v7 NUMERIC
@ATTRIBUTE d2v8 NUMERIC
@ATTRIBUTE d2v9 NUMERIC
@ATTRIBUTE d2v10 NUMERIC
@ATTRIBUTE d2v11 NUMERIC
@ATTRIBUTE d2v12 NUMERIC
@ATTRIBUTE d2v13 NUMERIC
@ATTRIBUTE d2v14 NUMERIC
@ATTRIBUTE d2v15 NUMERIC
@ATTRIBUTE d2v16 NUMERIC
@ATTRIBUTE d2v17 NUMERIC
@ATTRIBUTE d2v18 NUMERIC
@ATTRIBUTE d2v19 NUMERIC
@ATTRIBUTE d2v20 NUMERIC
@ATTRIBUTE d2v21 NUMERIC
@ATTRIBUTE d2v22 NUMERIC
@ATTRIBUTE d2v23 NUMERIC
@ATTRIBUTE d2v24 NUMERIC
@ATTRIBUTE d2v25 NUMERIC
@ATTRIBUTE d2v26 NUMERIC
@ATTRIBUTE d2v27 NUMERIC
@ATTRIBUTE d2v28 NUMERIC
@ATTRIBUTE d2v29 NUMERIC
@ATTRIBUTE d2v30 NUMERIC
@ATTRIBUTE d2v31 NUMERIC
@ATTRIBUTE d2v32 NUMERIC
@ATTRIBUTE d2v33 NUMERIC
@ATTRIBUTE d2v34 NUMERIC
@ATTRIBUTE d2v35 NUMERIC
@ATTRIBUTE d2v36 NUMERIC
@ATTRIBUTE d2v37 NUMERIC
@ATTRIBUTE d2v38 NUMERIC
@ATTRIBUTE d2v39 NUMERIC
@ATTRIBUTE d2v40 NUMERIC
@ATTRIBUTE d2v41 NUMERIC
@ATTRIBUTE d2v42 NUMERIC
@ATTRIBUTE d2v43 NUMERIC
@ATTRIBUTE d2v44 NUMERIC
@ATTRIBUTE d2v45 NUMERIC
@ATTRIBUTE d2v46 NUMERIC
@ATTRIBUTE d2v47 NUMERIC
@ATTRIBUTE d2v48 NUMERIC
@ATTRIBUTE d2v49 NUMERIC
@ATTRIBUTE d2v50 NUMERIC
@ATTRIBUTE d2v51 NUMERIC
@ATTRIBUTE d2v52 NUMERIC
@ATTRIBUTE d2v53 NUMERIC
@ATTRIBUTE d2v54 NUMERIC
@ATTRIBUTE d2v55 NUMERIC
@ATTRIBUTE d2v56 NUMERIC
@ATTRIBUTE d2v57 NUMERIC
@ATTRIBUTE d2v58 NUMERIC
@ATTRIBUTE d2v59 NUMERIC
@ATTRIBUTE d2v60 NUMERIC
@ATTRIBUTE d2v61 NUMERIC
@ATTRIBUTE d2v62 NUMERIC
@ATTRIBUTE d2v63 NUMERIC
@ATTRIBUTE d2v64 NUMERIC
@ATTRIBUTE d2v65 NUMERIC
@ATTRIBUTE d2v66 NUMERIC
@ATTRIBUTE d2v67 NUMERIC
@ATTRIBUTE d2v68 NUMERIC
@ATTRIBUTE d2v69 NUMERIC
@ATTRIBUTE d2v70 NUMERIC
@ATTRIBUTE d2v71 NUMERIC
@ATTRIBUTE d2v72 NUMERIC
@ATTRIBUTE d2v73 NUMERIC
@ATTRIBUTE d2v74 NUMERIC
@ATTRIBUTE d2v75 NUMERIC
@ATTRIBUTE d2v76 NUMERIC
@ATTRIBUTE d2v77 NUMERIC
@ATTRIBUTE d2v78 NUMERIC
@ATTRIBUTE d2v79 NUMERIC
@ATTRIBUTE d2v80 NUMERIC
@ATTRIBUTE d2v81 NUMERIC
@ATTRIBUTE d2v82 NUMERIC
@ATTRIBUTE d2v83 NUMERIC
@ATTRIBUTE d2v84 NUMERIC
@ATTRIBUTE d2v85 NUMERIC
@ATTRIBUTE d2v86 NUMERIC
@ATTRIBUTE d2v87 NUMERIC
@ATTRIBUTE d2v88 NUMERIC
@ATTRIBUTE d2v89 NUMERIC
@ATTRIBUTE d2v90 NUMERIC
@ATTRIBUTE d2v91 NUMERIC
@ATTRIBUTE d2v92 NUMERIC
@ATTRIBUTE d2v93 NUMERIC
@ATTRIBUTE d2v94 NUMERIC
@ATTRIBUTE d2v95 NUMERIC
@ATTRIBUTE d2v96 NUMERIC
@ATTRIBUTE d2v97 NUMERIC
@ATTRIBUTE d2v98 NUMERIC
@ATTRIBUTE d2v99 NUMERIC
@ATTRIBUTE class {N,Y}
@DATA
326376825590779905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471615,0.0202627,-0.028553,0.00839714,-0.0310682,0.0233864,0.0054991,-0.040327,0.000691671,0.0160925,-0.00408685,-0.0307785,-0.0406319,-0.0398469,0.0235305,0.0381528,0.0148366,-0.0244766,0.0202852,-0.0119898,-0.0156283,-0.00156094,0.0182872,0.039391,0.0386062,0.0043888,0.00472492,0.0201997,-0.0350218,-0.0217341,-0.0330741,0.0107152,-0.00362753,0.000963094,0.00166884,0.00632189,0.00286131,-0.0100606,0.0236262,-0.0498125,-0.0348519,-0.0220967,-0.00597211,-0.0141754,0.0126254,-0.00891006,0.0377309,0.0234321,0.0154266,-0.00860508,-0.00532824,-0.003216,0.00715338,-0.000559896,-0.00182423,-0.0173161,0.0119914,-0.00352842,-0.0160745,-0.0241691,-0.0166261,0.0210971,0.00453259,-0.00824496,0.0318437,0.00792271,-0.0103177,0.00970216,0.00490168,-0.0104941,-0.0193861,-0.00999232,-0.0288213,0.00621096,-0.0226119,-0.0055178,0.0168452,0.0199944,0.0165288,0.00862064,-0.0194362,0.0272679,-0.0113259,-0.0150973,0.0186949,-0.00709085,-0.0319222,-0.0242842,0.0369058,-0.0572784,-0.0506418,0.0046685,-0.0255746,0.0185873,-0.0178841,0.0175456,0.017314,0.0292186,0.011621,0.0111516,N
326398829849092097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00108287,0.00104909,-0.00860931,-0.00211043,-0.00367608,0.00642088,0.00616313,-0.00932785,3.90428e-05,0.0060111,-0.00333514,-0.00409837,-0.00462445,-0.00531776,0.00789308,0.0091329,-0.000494411,-0.00556595,0.00577134,-0.00592036,0.00201777,-0.00122567,-0.0018981,0.00496176,0.00686648,-0.00160631,0.00011123,0.0060722,-0.00675916,-0.000251003,-0.00755702,-0.000674437,0.000923298,0.00241487,0.00284829,-0.00113238,-0.0050566,-0.000977358,-0.00146291,-0.00440366,-0.00683154,-0.00670804,-0.00576103,-0.00691619,-0.000172779,-0.00545191,0.009435,0.00840805,0.00264604,0.00153444,-0.00569946,-0.00292583,0.00272294,0.00180699,-0.00331871,-0.000611044,8.48757e-06,-0.00396542,-0.00182849,-0.00768907,-0.00645752,0.000968589,0.00621406,0.0033762,0.00188348,0.00399133,0.0025541,0.00117388,0.00492044,-0.00232897,-0.00634937,0.00260995,1.71025e-05,0.00220345,-0.000574875,-0.00163223,0.00540916,-0.00101325,0.00216948,0.000650925,0.000468522,0.00819017,0.00112543,-0.00654561,0.00403315,-0.00136177,-0.00812121,-0.00449235,0.0113492,-0.013666,-0.0123535,0.00159496,-0.00326791,0.00236786,-0.00247618,0.00473536,0.000245849,0.00869557,0.00334491,0.00541221,Y
326406322323066883,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.68808e-05,-0.00520228,-0.000642105,0.000947141,0.00310469,0.00283182,0.000876144,0.00145906,-0.000567206,0.00082421,0.00122955,-0.000545499,0.00358592,-0.000443095,0.00263005,-0.00542793,7.04183e-07,-0.00263115,0.00179648,0.00123613,0.000211381,0.00293544,0.00273165,0.00288583,-0.00110776,0.00363026,0.00269904,-0.00566427,0.00128836,-0.000331175,-0.0017376,-0.00482506,0.00259252,-6.804e-05,-0.00322884,-0.00392444,-0.00177797,-0.0001231,-0.00505834,0.00341299,0.00182812,0.00451486,0.00512197,-0.0014707,0.00225248,0.000758753,0.0016386,-0.00202946,-0.000474644,0.00525989,-0.00302865,0.00224912,-0.00172966,-0.00381784,0.00339522,0.0045371,0.00443129,0.0016785,0.00111487,0.000819876,0.000142004,-0.00386086,-0.00302244,0.0032994,-0.000757026,-0.000394903,-0.000102408,0.00150538,0.0032013,0.00183758,0.00216394,-0.000551469,0.00499294,0.000385834,0.00342931,-0.0024813,0.00200504,4.42597e-06,-0.00472947,0.00420266,0.000186503,-0.00264579,0.00213552,-0.00330734,0.00137175,-0.00207829,-0.00291384,-0.00318873,-9.59514e-05,0.00778295,0.00377446,-0.00231464,-0.003915,-0.00383456,-0.00315494,-0.00251859,-0.00422151,-0.00403259,-0.00158753,-0.00489972,Y
326407491460141056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105485,0.0193977,-0.027756,0.00238572,-0.0342358,0.0253553,0.00935136,-0.0336335,-0.00183093,0.0146285,-0.0122782,-0.0276217,-0.0411376,-0.0341083,0.0232313,0.0390423,0.0189505,-0.0255361,0.0175029,-0.00877706,-0.0130265,-0.00101832,0.0163693,0.0357094,0.0338293,0.00957441,0.000334759,0.0183258,-0.030513,-0.0134347,-0.0219086,0.0103631,-0.00976979,0.00189751,0.00574351,0.00577368,-0.00553921,-0.00896241,0.0152672,-0.0415651,-0.029127,-0.017047,-0.00932908,-0.0116654,0.0153603,-0.00603699,0.035089,0.0161058,0.0125325,-0.00658015,-0.00424809,-0.00316583,0.0115264,0.000875159,-0.00129807,-0.0174784,0.00349303,0.000481888,-0.0137901,-0.0176382,-0.00922299,0.0219081,0.00988404,-0.00944302,0.0294728,0.00226674,-0.0139951,0.0109558,-0.000693535,-0.0142447,-0.0181706,-0.00795633,-0.0227527,0.00589083,-0.0164514,-0.0063658,0.00768988,0.0104004,0.0194733,0.013562,-0.0185896,0.0257836,-0.0149825,-0.0163165,0.0145586,-0.00601732,-0.0241285,-0.022693,0.0418811,-0.050483,-0.0465973,0.00923682,-0.0224658,0.0155858,-0.0165474,0.0128609,0.0183451,0.0257082,0.0136437,0.0106106,N
326453069795688449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040389,0.00874968,-0.00722743,0.00440721,-0.011457,0.0115185,-0.00154529,-0.0145525,0.00169534,0.00635723,0.000303954,-0.0107642,-0.0119451,-0.00842002,0.00982106,0.00732154,0.000233684,-0.00465628,0.00109855,-0.00272686,-0.000519779,-0.00534348,0.009156,0.00879222,0.010547,-0.0015025,-0.000242285,0.00175438,-0.0119641,-0.0084133,-0.0109006,-6.99698e-05,0.00326706,-0.000388672,0.00598616,0.0050275,-0.000752538,0.00166114,0.00496706,-0.0178056,-0.0131376,-0.00437013,-4.6549e-06,-0.000864809,0.00209905,0.00192336,0.00864433,0.0072228,0.00831005,-0.00553375,-0.00639697,-0.00423168,0.00459424,-0.00381018,0.00185745,-0.00994867,0.00154836,-0.00347759,-0.00389756,-0.00360451,-0.000484426,0.00895316,0.00182039,-0.00199267,0.00570205,0.00183425,-0.00700244,0.00751722,0.00171547,0.000771996,-0.00847185,-0.00702373,-0.00896743,0.00356532,-0.00419934,-0.00284028,0.00770519,0.00990438,0.00901991,-0.000125755,-0.00730374,0.00960387,-0.00119228,-0.00198446,0.00354616,-0.00122026,-0.0030199,-0.00835093,0.011333,-0.0133498,-0.0153744,0.00692846,-0.00428185,0.000813651,-0.00491778,0.00576874,0.00914153,0.0090706,-0.000429882,0.00695298,N
326454089124814849,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043204,0.0074594,-0.00977245,0.00455664,-0.0185098,0.00865182,0.00387269,-0.0175959,-0.00213391,0.00940004,-0.00107123,-0.0148506,-0.0201339,-0.0141898,0.0147288,0.0217379,0.00620525,-0.0144404,0.00998962,-0.00320059,-0.0019864,-0.0050485,0.00283844,0.0249504,0.0119069,0.004304,0.00350781,0.0109075,-0.0147379,-0.00595043,-0.0186505,0.00254338,-0.0028323,0.00171843,0.00570762,0.00988891,0.000379809,-6.08661e-05,0.00811547,-0.0243382,-0.0178188,-0.00853684,-0.00015872,-0.00882118,0.00686992,0.000897041,0.0183136,0.00990658,0.00858587,-0.00638084,0.00178134,-0.00602251,0.0073833,-0.000847865,-0.0063441,-0.0126173,0.00723371,-3.44517e-05,-0.00666978,-0.00930419,-0.00965546,0.0052547,0.00620529,0.000139623,0.0179469,0.00656041,-0.00927546,0.00128097,-0.00157447,-0.00136453,-0.0126688,-0.00945286,-0.0110738,0.00125622,-0.0132715,0.00167293,0.00859441,0.00497548,0.00390078,0.000281702,-0.0137955,0.0113188,-0.00628941,-0.00851141,0.0103231,-0.00248349,-0.0147472,-0.0134126,0.0234148,-0.0261241,-0.0273089,0.00528416,-0.0106824,0.00642056,-0.00712442,0.0132131,0.00871657,0.011696,0.00716259,0.00776261,N
326456822007492608,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307942,0.011705,-0.0186407,0.00696357,-0.0256504,0.0192481,0.00478229,-0.0306803,0.00659753,0.00913322,-0.00581686,-0.017165,-0.0307398,-0.0306227,0.0201036,0.0310875,0.0168252,-0.0169305,0.0145195,-0.00944679,-0.00542767,-0.00476015,0.0138568,0.0266149,0.027367,-0.000275482,0.00726611,0.00942186,-0.0315951,-0.0189043,-0.0165867,0.00899826,-0.00260229,-0.000655217,0.00619734,0.0104417,-0.00166126,-0.00815973,0.00927,-0.0376923,-0.0286974,-0.0159784,-0.00576349,-0.00689147,0.00568066,-0.00300221,0.0243133,0.0129198,0.00423102,-0.00414929,-0.00735774,-0.00123771,0.00273222,4.00723e-05,-0.00857011,-0.00966547,0.00722174,-0.00651596,-0.0104578,-0.0183765,-0.00950972,0.0101996,0.00235957,-0.0059265,0.0248662,0.000577775,-0.00696007,0.00670368,-0.000623099,-0.00932537,-0.0118274,-0.0101267,-0.0142525,0.00852216,-0.0121098,0.000729977,0.0118284,0.0164473,0.0126044,0.00432684,-0.0194466,0.0188322,-0.00982445,-0.0076602,0.0145924,-0.00832723,-0.0202799,-0.0245049,0.0256741,-0.0420581,-0.0385912,0.00047554,-0.0135491,0.0109204,-0.0174519,0.0160653,0.0167498,0.0170671,0.0116521,0.00570406,N
326468307240759296,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609347,0.000917864,-0.0111699,0.0043461,-0.0091363,0.00615433,0.00219177,-0.00765648,-0.000194777,0.00438446,-0.00137488,-0.00338117,-0.0109148,-0.00680554,0.00907732,0.00511763,-0.000399517,-0.00480758,0.00405783,0.00109379,1.48126e-05,0.0024416,0.00616249,0.0138492,0.00918022,0.00195771,0.00411603,0.00124774,-0.0125273,-0.00155152,-0.00418482,0.00544672,0.00274313,0.00441689,-0.00182366,0.00596631,0.0036213,-0.00504165,0.00434677,-0.0113556,-0.00320878,-0.00706568,0.00201951,0.001812,0.0040025,-0.00635143,0.00915708,0.00899958,0.00447906,-0.0053,-0.00505878,0.00113371,0.00330105,-0.00247404,-0.000755269,-0.0022794,0.00223784,0.00217917,-0.00185222,-0.00142441,-0.00106996,0.00141209,0.00160432,-0.00290231,0.00226234,0.00393068,-0.000526658,0.00290966,0.00368134,0.000102992,-0.000945389,-0.000579174,-0.00373548,0.00452732,-0.00470534,-0.00332794,0.00441348,0.00765983,0.000646016,0.00339077,-0.00781458,0.00312485,-0.00327121,0.000134194,0.0035484,-0.00487612,-0.00720708,-0.00705466,0.00513838,-0.0127698,-0.0157163,0.00365766,-0.00506929,0.00235898,-0.00211305,0.00219838,-0.000507177,0.00606719,0.00219607,-0.000745164,N
326505447643291650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00186451,-0.00235312,0.00174263,0.00237885,0.0081284,-0.00783191,0.00192325,0.00244981,-0.000646804,-0.00331685,0.000619357,0.0079289,0.00951619,0.00492025,-0.00203405,-0.00746828,-0.000931987,0.00689418,-0.00415081,0.00384749,-0.00308411,0.00158272,-0.00402157,-0.00146488,-0.00389817,0.00367057,-0.00109762,-0.00485386,0.00111951,0.00302846,0.00625102,0.00174714,0.00327374,-0.0043776,0.0023715,-0.00120822,0.000933921,-0.00385563,-0.00635981,0.00439436,0.00558798,0.00170538,-0.000829707,-0.00255767,-0.00152602,0.00361063,-0.00106821,-0.00567458,0.00209176,0.00491165,0.000700649,0.00197459,-0.0012382,0.00175999,-0.00160284,0.00193033,-0.00263289,-0.0010299,-0.00272332,0.00386394,-0.00276482,-0.00719074,-0.00590744,-0.00227974,-0.00831618,-0.00360879,-0.00256147,-0.00104037,-0.0047101,-0.00187927,0.00662125,0.000684684,0.00683588,0.00233167,0.00224426,0.00444841,-0.00509684,-0.00572247,-0.00569991,-0.00297014,0.00687753,-0.00606655,0.00531102,0.00158533,0.000279267,-0.00309964,0.00330912,0.00586885,-0.00165783,0.00659379,0.00340867,-0.00169364,0.00714756,-0.00182011,0.00163795,-0.00665938,-0.00231496,-0.0024069,-0.00352684,0.00308939,N
326523509444591616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0062544,0.0134112,-0.0204689,0.00697241,-0.0249474,0.0114613,0.00617481,-0.019467,0.0051513,0.00864719,-0.00610542,-0.0181632,-0.0259762,-0.0270095,0.0146101,0.0305142,0.0119215,-0.0170579,0.00676386,-0.00683251,-0.0108184,0.00380037,0.0102312,0.0312837,0.0187227,0.00663811,0.00621486,0.011297,-0.0219058,-0.0108428,-0.0136396,0.00275495,-0.00307441,-0.00255283,0.00456727,0.00881843,2.68784e-05,-0.00081829,0.00833273,-0.0346891,-0.0233876,-0.00624714,0.000750607,-0.00816005,0.00520075,-0.00741218,0.0268854,0.0121049,0.0124396,-0.000136853,-0.00553664,-0.00801141,0.00505856,0.00137244,-0.00180339,-0.00863613,0.000438728,-0.00228031,-0.00956519,-0.0169952,-0.0133309,0.0130416,0.00350996,-0.00607787,0.0224646,0.00465084,-0.00508612,0.00838418,0.00617181,-0.00846889,-0.0186317,-0.00676862,-0.0183564,0.00219443,-0.00857996,0.00342457,0.0111104,0.0144216,0.0105615,0.010895,-0.0137596,0.0200045,-0.00829817,-0.00504297,0.0106399,-0.00983742,-0.0189834,-0.0134348,0.0272483,-0.0361427,-0.0301053,0.00884607,-0.0140612,0.00626104,-0.0146317,0.0134837,0.0148298,0.0187105,0.0108662,0.00747425,N
